State,Crop_Year,Crop,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,nasa_rain_mm,nasa_tmax_c,nasa_tmin_c,rain_mm,temp_mean_c,cwr_mm,deficit_mm,fert_per_ha,pest_per_ha,econ_signal,irr_proxy_mm_base,wb_irrig_pct,observed_irrig_mm,observed_demand_mcm
Maharashtra,1997,Arhar/Tur,1005600.0,348000,1156.1,95702952.0,311736.0,0.3325,,,,1156.1,27.0,450,0.0,95.16999999990536,0.30999999999969174,0.5,31.937800221825448,35.3416487104871,36.8476807881826,370.54027800596424
Maharashtra,1997,Bajra,1671200.0,1119000,1156.1,159048104.0,518072.0,0.632272727,,,,1156.1,27.0,400,0.0,95.16999999994306,0.3099999999998145,0.5,28.389155752763074,35.3416487104871,32.75349403397394,547.3763922957726
Maharashtra,1997,Cotton(lint),31292.0,1753100,1156.1,2978059.64,9700.52,95.99391304,,,,1156.1,27.0,850,98.53500000000008,95.16999999695865,0.3099999999900933,1.5,74.72820596968566,35.3416487104871,86.21636619678107,26.978825310296735
Maharashtra,1997,Gram,717100.0,295900,1156.1,68246407.0,222301.0,0.408148148,,,,1156.1,27.0,350,0.0,95.16999999986729,0.3099999999995677,0.5,24.840511283616085,35.3416487104871,28.65930727966766,205.51589250249683
Maharashtra,1997,Jowar,5500200.0,3989800,1156.1,523454034.0,1705062.0,1.0444416665,,,,1156.1,27.0,450,0.0,95.16999999998269,0.3099999999999436,0.5,31.937800221893163,35.3416487104871,36.847680788260725,2026.6961387159165
Maharashtra,1997,Maize,240921.0,317295,1156.1,22928451.57,74685.51000000001,248.45918402775,,,,1156.1,27.0,500,0.0,95.16999999960497,0.3099999999987133,1.5,0.48644469062492196,35.3416487104871,0.5612270900550105,1.3521139176314318
Maharashtra,1997,Rice,1339329.0,2330646,1156.1,127463940.93,415191.99,5.398582375499999,,,,1156.1,27.0,1200,448.5350000000001,95.16999999992895,0.3099999999997685,0.5,421.56871725825636,35.3416487104871,486.377565640868,6514.195786122182
Maharashtra,1997,Sugarcane,183300.0,158866,1156.1,17444661.0,56823.0,0.863333333,,,,1156.1,27.0,1600,848.5350000000001,95.1699999994808,0.3099999999983088,0.5,749.9578730096133,35.3416487104871,865.250834976359,1586.004780511666
Maharashtra,1997,Wheat,747300.0,670600,1156.1,71120541.0,231663.0,0.8476,,,,1156.1,27.0,550,0.0,95.16999999987264,0.30999999999958516,0.5,39.035089159973865,35.3416487104871,45.03605429662722,336.5544337586952
Maharashtra,1998,Arhar/Tur,1006700.0,808900,1314.8,99461960.0,291943.0,0.6425,,,,1314.8,27.0,450,0.0,98.79999999990186,0.28999999999971193,0.5,35.11622802021557,35.3416487104871,40.514736506169406,407.86185240760744
Maharashtra,1998,Bajra,1759700.0,1492500,1314.8,173858360.0,510313.0,0.739545455,,,,1314.8,27.0,400,0.0,98.79999999994385,0.2899999999998352,0.5,31.21442490689097,35.3416487104871,36.01309911663273,633.7225051553862
Maharashtra,1998,Cotton(lint),3199100.0,2618900,1314.8,316071080.0,927739.0,1.040434783,,,,1314.8,27.0,850,0.0,98.79999999996912,0.2899999999999094,0.5,66.3306529271851,35.3416487104871,76.52783562289278,2448.201989411963
Maharashtra,1998,Gram,904200.0,561900,1314.8,89334960.0,262218.0,0.615714286,,,,1314.8,27.0,350,0.0,98.79999999989073,0.2899999999996793,0.5,27.31262179349342,35.3416487104871,31.511461727011902,284.9266369356416
Maharashtra,1998,Jowar,4775100.0,4483600,1314.8,471779880.0,1384779.0,1.005675,,,,1314.8,27.0,450,0.0,98.7999999999793,0.28999999999993925,0.5,35.11622802028339,35.3416487104871,40.514736506247644,1934.6191829098314
Maharashtra,1998,Maize,270100.0,505500,1314.8,26685880.0,78329.0,1.5929066023333334,,,,1314.8,27.0,500,0.0,98.79999999963421,0.28999999999892634,0.5,39.01803113331246,35.3416487104871,45.01637389544336,121.5892258915925
Maharashtra,1998,Niger seed,68500.0,18700,1314.8,6767800.0,19865.0,0.3065,,,,1314.8,27.0,350,0.0,98.79999999855768,0.2899999999957665,0.5,27.312621792585585,35.3416487104871,31.511461725964505,21.585351282285686
Maharashtra,1998,Rice,1483100.0,2467600,1314.8,146530280.0,430099.0,1.660287356,,,,1314.8,27.0,1200,345.38,98.79999999993338,0.28999999999980447,0.5,352.6782747206484,35.3416487104871,406.89641733536564,6034.680765500808
Maharashtra,1998,Soyabean,1055300.0,1471900,1314.8,104263640.0,306037.0,1.3276,,,,1314.8,27.0,450,0.0,98.79999999990638,0.2899999999997252,0.5,35.11622802021952,35.3416487104871,40.51473650617396,427.5520143496538
Maharashtra,1998,Sugarcane,529800.0,47151100,1314.8,52344240.0,153642.0,84.55434783,,,,1314.8,27.0,1600,745.38,98.79999999981351,0.28999999999945264,1.5,571.8926996271581,35.3416487104871,659.8112423081925,3495.679961748804
Maharashtra,1998,Wheat,1015500.0,1308500,1314.8,100331400.0,294495.0,1.265,,,,1314.8,27.0,550,0.0,98.79999999990271,0.28999999999971443,0.5,42.91983424693105,35.3416487104871,49.51801128531921,502.8554046024166
Maharashtra,1999,Arhar/Tur,1040900.0,868100,1166.5,110470717.0,281043.0,0.706875,,,,1166.5,27.0,450,0.0,106.12999999989803,0.2699999999997406,0.5,41.53437561311087,35.3416487104871,47.91956251522042,498.79472622092936
Maharashtra,1999,Bajra,1720700.0,1126300,1166.5,182617891.0,464589.0,0.662916667,,,,1166.5,27.0,400,0.0,106.12999999993832,0.2699999999998431,0.5,36.91944498946324,35.3416487104871,42.595166680232104,732.9350330667538
Maharashtra,1999,Cotton(lint),3253900.0,3099300,1166.5,345336407.0,878553.0,1.213846154,,,,1166.5,27.0,850,91.77499999999998,106.1299999999674,0.26999999999991703,0.5,147.28507060265744,35.3416487104871,169.92758514166272,5529.273692924563
Maharashtra,1999,Gram,920000.0,592200,1166.5,97639600.0,248400.0,0.614,,,,1166.5,27.0,350,0.0,106.12999999988465,0.26999999999970653,0.5,32.30451436574378,35.3416487104871,37.27077084516092,342.89109177548045
Maharashtra,1999,Jowar,5118400.0,4630000,1166.5,543215792.0,1381968.0,0.9656,,,,1166.5,27.0,450,0.0,106.12999999997926,0.2699999999999472,0.5,41.534375613181986,35.3416487104871,47.919562515302474,2452.714887783242
Maharashtra,1999,Maize,263869.0,414473,1166.5,28004416.97,71244.63,1.4209333333333334,,,,1166.5,27.0,500,0.0,106.12999999959779,0.2699999999989768,0.5,46.149306236497736,35.3416487104871,53.243958349907885,140.49430045831846
Maharashtra,1999,Niger seed,66700.0,18700,1166.5,7078871.0,18009.0,0.2272,,,,1166.5,27.0,350,0.0,106.12999999840886,0.26999999999595203,0.5,32.304514364738736,35.3416487104871,37.27077084400137,24.859604152948915
Maharashtra,1999,Rice,1498500.0,2549300,1166.5,159035805.0,404595.0,1.646467742,,,,1166.5,27.0,1200,441.775,106.12999999992917,0.26999999999981983,0.5,442.0895849683683,35.3416487104871,510.0531593770326,7643.146593264834
